fullname,belongToIndustry,hasSupplyChain
商品化工,原材料-原材料-化学制品-商品化工,"化工商品贸易-化工产品贸易,机动车零配件与设备,家庭装饰品,家用电器,家用器具与特殊消费品,家用器具与特殊消费品-其他特殊消费品,消闲用品,摄影产品,能源设备与服务-石油天然气设备与服务-油田服务-石油与天然气勘探技术服务,个人用品,医疗保健设备,医疗保健用品,制药,制药-其他制药,多种化学制品,化肥与农用药剂,特种化学制品,化工商品贸易-化工产品贸易-其他化工产品贸易,办公电子设备,机动车零配件与设备-其他汽车零配件与设备,建筑材料,电气部件与设备-其他电气部件与设备,特种化学制品-其他特种化学制品,建筑材料-其他建筑材料,家用电器-其他家用电器,家庭装饰品-其他家庭装饰品,医疗保健设备-其他医疗保健设备,医疗保健用品-其他医疗保健用品,容器与包装,电脑与外围设备,电子制造,化工商品贸易,电气部件与设备"
商品化工-橡胶,原材料-原材料-化学制品-商品化工,"化工商品贸易-化工产品贸易-橡塑制品贸易,轮胎与橡胶,轮胎与橡胶-汽车用非轮胎橡胶制品,医疗保健设备-家用医疗设备-桑拿设备,服饰、鞋类与奢侈品-鞋类,医疗保健用品-卫生制品及敷料,医疗保健用品-避孕用具,服饰、鞋类与奢侈品-鞋类-其他鞋类,工业机械-专用设备制造-水处理设备-净水器压力桶"
商品化工-橡胶-合成橡胶,原材料-原材料-化学制品-商品化工,"化工商品贸易-化工产品贸易-橡塑制品贸易,轮胎与橡胶,轮胎与橡胶-轮胎,轮胎与橡胶-汽车用非轮胎橡胶制品,轮胎与橡胶-汽车用非轮胎橡胶制品-汽车密封件-汽车密封条,轮胎与橡胶-汽车用非轮胎橡胶制品-汽车密封件,消闲用品-自行车-自行车及其零配件,服饰、鞋类与奢侈品-鞋类-女鞋,服饰、鞋类与奢侈品-鞋类-男鞋,服饰、鞋类与奢侈品-鞋类-童鞋,服饰、鞋类与奢侈品-鞋类-运动鞋,服饰、鞋类与奢侈品-鞋类-鞋子的组件,服饰、鞋类与奢侈品-鞋类-鞋子的组件-鞋底,个人用品-个人卫生护理用品-牙具用品,医疗保健用品-卫生制品及敷料-卫生用橡胶制品,商品化工-橡胶-橡胶管和橡胶带,商品化工-其他商品化工产品-丁腈手套,工业机械-专用设备制造-食品灭菌设备,工业机械-其他工业机械-闸门,特种化学制品-精细化工-眼镜胶板,建筑与工程-专项建设工程-体育设施工程,商品化工-橡胶-橡胶管和橡胶带-橡胶带-三角带,机动车零配件与设备-汽车底盘系统-汽车行驶系统-轮胎气门嘴,轮胎与橡胶-汽车用非轮胎橡胶制品-汽车胶管,商品化工-橡胶-橡胶密封制品,商品化工-橡胶-橡胶减震制品,商品化工-橡胶-橡胶减震制品-轨道橡胶减震制品,轮胎与橡胶-汽车用非轮胎橡胶制品-汽车橡胶减震制品,商品化工-橡胶-橡胶管和橡胶带-橡胶管,商品化工-橡胶-橡胶管和橡胶带-橡胶带,电气部件与设备-电气设备-电绝缘材料,商品化工-橡胶-橡胶管和橡胶带-橡胶带-输送带"
商品化工-橡胶-合成橡胶-顺丁橡胶,原材料-原材料-化学制品-商品化工,"化工商品贸易-化工产品贸易-橡塑制品贸易,轮胎与橡胶-轮胎,轮胎与橡胶-轮胎-特种轮胎,轮胎与橡胶-轮胎-工程轮胎,轮胎与橡胶-轮胎-斜交轮胎,轮胎与橡胶-轮胎-全钢子午线轮胎,轮胎与橡胶-轮胎-半钢子午线轮胎"
汽车,非日常生活消费品-汽车与汽车零部件-汽车-汽车,"机动车贸易-汽车贸易,公路与铁路运输-陆运,公路与铁路运输-陆运-汽车租赁,特殊消费者服务-商品预订,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,保险-财产与意外伤害保险-机动车辆险,石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油-汽油,商业服务-综合支持服务-维护服务-交通工具维护服务,机动车贸易-其他机动车贸易,调查和咨询服务-专业技术服务-其他技术服务,商业服务,机动车贸易,机动车贸易-汽车贸易-二手车零售,综合金融服务-特殊金融服务-汽车金融服务,调查和咨询服务-专业技术服务,商业服务-综合支持服务-汽车美容服务-洗车服务,商业服务-综合支持服务-汽车试驾测试服务,航空货运与物流-物流服务-汽车物流服务,互联网软件与服务-电商平台提供商-汽车类信息服务,商业服务-综合支持服务-汽车美容服务"
汽车-摩托车制造,非日常生活消费品-汽车与汽车零部件-汽车-汽车,"机动车贸易-汽车贸易,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,保险-财产与意外伤害保险-机动车辆险,石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油-汽油"
汽车-摩托车制造-二轮摩托车,非日常生活消费品-汽车与汽车零部件-汽车-汽车,"机动车贸易-汽车贸易,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,保险-财产与意外伤害保险-机动车辆险,石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油-汽油"
汽车,非日常生活消费品-汽车与汽车零部件-汽车-汽车,"机动车贸易-汽车贸易,公路与铁路运输-陆运,公路与铁路运输-陆运-汽车租赁,特殊消费者服务-商品预订,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,保险-财产与意外伤害保险-机动车辆险,石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油-汽油,商业服务-综合支持服务-维护服务-交通工具维护服务,机动车贸易-其他机动车贸易,调查和咨询服务-专业技术服务-其他技术服务,商业服务,机动车贸易,机动车贸易-汽车贸易-二手车零售,综合金融服务-特殊金融服务-汽车金融服务,调查和咨询服务-专业技术服务,商业服务-综合支持服务-汽车美容服务-洗车服务,商业服务-综合支持服务-汽车试驾测试服务,航空货运与物流-物流服务-汽车物流服务,互联网软件与服务-电商平台提供商-汽车类信息服务,商业服务-综合支持服务-汽车美容服务"
汽车-摩托车制造,非日常生活消费品-汽车与汽车零部件-汽车-汽车,"机动车贸易-汽车贸易,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,保险-财产与意外伤害保险-机动车辆险,石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油-汽油"
汽车-摩托车制造-三轮摩托车,非日常生活消费品-汽车与汽车零部件-汽车-汽车,"机动车贸易-汽车贸易,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,保险-财产与意外伤害保险-机动车辆险,石油与天然气-石油与天然气的炼制和营销-石油炼制产品-成品油-汽油"
轮胎与橡胶,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"汽车-汽车制造,建筑、农用机械与重型卡车-环卫机械-环卫车,机动车贸易-机动车零配件零售,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,建筑、农用机械与重型卡车-重卡及专用车,汽车,建筑、农用机械与重型卡车-工程机械-工业车辆,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆"
轮胎与橡胶-轮胎,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"汽车-汽车制造,建筑、农用机械与重型卡车-环卫机械-环卫车,消闲用品-自行车,机动车贸易-机动车零配件零售,建筑、农用机械与重型卡车-重卡及专用车,汽车,建筑、农用机械与重型卡车-工程机械-工业车辆,商业服务-综合支持服务-加工劳务-轮胎分装,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆,建筑、农用机械与重型卡车-机场服务设备-机场专用车辆"
轮胎与橡胶,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"汽车-汽车制造,建筑、农用机械与重型卡车-环卫机械-环卫车,机动车贸易-机动车零配件零售,商业服务-综合支持服务-维护服务-交通工具维护服务-机动车维修服务,建筑、农用机械与重型卡车-重卡及专用车,汽车,建筑、农用机械与重型卡车-工程机械-工业车辆,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆"
轮胎与橡胶-轮胎,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"汽车-汽车制造,建筑、农用机械与重型卡车-环卫机械-环卫车,消闲用品-自行车,机动车贸易-机动车零配件零售,建筑、农用机械与重型卡车-重卡及专用车,汽车,建筑、农用机械与重型卡车-工程机械-工业车辆,商业服务-综合支持服务-加工劳务-轮胎分装,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆,建筑、农用机械与重型卡车-机场服务设备-机场专用车辆"
轮胎与橡胶-轮胎-斜交轮胎,非日常生活消费品-汽车与汽车零部件-汽车零配件-轮胎与橡胶,"建筑、农用机械与重型卡车-港口机械,汽车-摩托车制造-三轮摩托车,汽车-摩托车制造-二轮摩托车,机动车贸易-机动车零配件零售,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-收割机,商业服务-综合支持服务-加工劳务-轮胎分装,建筑、农用机械与重型卡车-工程机械-筑养路机械,建筑、农用机械与重型卡车-工程机械-起重装卸机械,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆,建筑、农用机械与重型卡车-农业机械-农机具及其零部件-农用车辆-拖拉机,建筑、农用机械与重型卡车-工程机械-混凝土机械"
